Estadísticos;Repetición;Tiempo (micros);Fuerza (N);RFD (N/s)
Diferencia;;67753944;-43,7;-119,637
Promedio;;;1628,546;-0,645
Máximo;;;2798,72;12261,013

Muestra;Repetición;Tiempo (micros);Fuerza (N);RFD (N/s)
2;0;2544;101,92;230,244
3;0;14072;101,96;168,056
4;0;25572;105,79;77,445
5;0;37056;103,74;-255,875
6;0;48552;99,91;-9,59
7;0;59996;103,52;82,666
8;0;71536;101,81;-171,905
9;0;83032;99,56;-70,607
10;0;94480;100,19;-27,845
11;0;106016;98,92;-63,98
12;0;117456;98,72;56,224
13;0;128960;100,21;275,655
14;0;140492;105,07;417,897
15;0;151980;109,83;419,93
16;0;163472;114,72;310,543
17;0;174972;116,97;224,939
18;0;186456;119,89;217,183
19;0;197948;121,96;22,189
20;0;209440;120,4;-8,271
21;0;220920;121,77;91,819
22;0;232420;122,51;152,635
23;0;243916;125,28;69,602
24;0;255408;124,11;-100,922
25;0;266904;122,96;-174,904
26;0;278392;120,09;-325,557
27;0;289880;115,48;-383,812
28;0;301372;111,27;-560,727
29;0;312868;102,59;-696,015
30;0;324360;95,27;-479,864
31;0;335812;91,58;-204,847
32;0;347304;90,57;-101,828
33;0;358792;89,24;-127,524
34;0;370280;87,64;-38,288
35;0;381776;88,36;6,959
36;0;393272;87,8;54,386
37;0;404760;89,61;-62,206
38;0;416260;86,37;-286,771
39;0;427740;83,02;-200,174
40;0;439240;81,77;-76,535
41;0;450736;81,26;14,355
42;0;462228;82,1;114,012
43;0;473716;83,88;287,926
44;0;485220;88,72;548,887
45;0;496708;96,5;526,201
46;0;508196;100,81;443,885
47;0;519732;106,72;474,475
48;0;531232;111,74;270,917
49;0;542728;112,95;-245,431
50;0;554212;106,1;-506,18
51;0;565704;101,32;-175,805
52;0;577192;102,06;-73,977
53;0;588684;99,62;-61,018
54;0;600136;100,66;-16,093
55;0;611676;99,25;-447,703
56;0;623120;90,37;-825,048
57;0;634608;80,33;-593,788
58;0;646108;76,72;-236,21
59;0;657596;74,9;-80,926
60;0;669092;74,86;30,467
61;0;680572;75,6;12,182
62;0;692076;75,14;10,437
63;0;703568;75,84;16,101
64;0;715056;75,51;-89,208
65;0;726548;73,79;93,124
66;0;738036;77,65;87,452
67;0;749532;75,8;-196,659
68;0;761020;73,13;-199,739
69;0;772512;71,21;-215,802
70;0;784004;68,17;-183,139
71;0;795500;67;2,611
72;0;806980;68,23;1,741
73;0;818480;67,04;-103,55
74;0;829964;65,85;-4,352
75;0;841460;66,94;20,442
76;0;852956;66,32;138,285
77;0;864456;70,12;250,131
78;0;875944;72,07;141,09
79;0;887420;73,36;43,501
80;0;898932;73,07;-203,514
81;0;910416;68,68;-97,024
82;0;921916;70,84;238,385
83;0;933404;74,16;238,945
84;0;944892;76,33;104,402
85;0;956392;76,56;146,598
86;0;967880;79,7;178,354
87;0;979380;80,66;-33,943
88;0;990860;78,92;-107,012
89;0;1002368;78,2;-145,243
90;0;1013856;75,58;-87,452
91;0;1025352;76,19;80,07
92;0;1036836;77,42;40,021
93;0;1048340;77,11;-33,049
94;0;1059832;76,66;-206,266
95;0;1071320;72,37;-233,641
96;0;1082816;71,29;-100,505
97;0;1094304;70,06;-29,596
98;0;1105792;70,61;-33,061
99;0;1117292;69,3;-171,394
100;0;1128780;66,67;-120,624
101;0;1140256;66,53;-38,308
102;0;1151752;65,79;-140,992
103;0;1163236;63,29;-132,289
104;0;1174732;62,75;-75,23
105;0;1186232;61,56;23,503
106;0;1197708;63,29;25,239
107;0;1209212;62,14;-78,682
108;0;1220712;61,48;-54,386
109;0;1232196;60,89;-14,365
110;0;1243684;61,15;215,802
111;0;1255180;65,85;368,824
112;0;1266676;69,63;274,104
113;0;1278164;72,15;105,327
114;0;1289652;72,05;46,578
115;0;1301136;73,22;175,744
116;0;1312640;76,09;202,315
117;0;1324120;77,87;-12,622
118;0;1335616;75,8;-321,149
119;0;1347100;70,49;-154,563
120;0;1358584;72,25;11,31
121;0;1370088;70,75;-295,32
122;0;1381576;65,46;-386,356
123;0;1393072;61,87;-117,038
124;0;1404560;62,77;146,649
125;0;1416052;65,24;215,33
126;0;1427548;67,72;107,882
127;0;1439040;67,72;93,56
128;0;1450528;69,87;349,748
129;0;1462028;75,76;347,138
130;0;1473516;77,85;265,93
